date,actual
01.01.2012 00:00,25.12
01.01.2012 01:00,23.64
01.01.2012 02:00,19.03
01.01.2012 03:00,15.97
01.01.2012 04:00,15.9
01.01.2012 05:00,9.49
01.01.2012 06:00,-0.01
01.01.2012 07:00,-0.08
01.01.2012 08:00,-0.03
01.01.2012 09:00,12.09
01.01.2012 10:00,12.24
01.01.2012 11:00,18.62
01.01.2012 12:00,21.04
01.01.2012 13:00,17.43
01.01.2012 14:00,12.14
01.01.2012 15:00,12.89
01.01.2012 16:00,18.7
01.01.2012 17:00,33
01.01.2012 18:00,33.78
01.01.2012 19:00,33.05
01.01.2012 20:00,30.92
01.01.2012 21:00,26.32
01.01.2012 22:00,28.1
01.01.2012 23:00,17.2
02.01.2012 00:00,11.17
02.01.2012 01:00,-0.01
02.01.2012 02:00,-11.07
02.01.2012 03:00,-5.03
02.01.2012 04:00,-1.48
02.01.2012 05:00,3.96
02.01.2012 06:00,27.94
02.01.2012 07:00,38.31
02.01.2012 08:00,38.46
02.01.2012 09:00,40.06
02.01.2012 10:00,44.25
02.01.2012 11:00,49.99
02.01.2012 12:00,51.98
02.01.2012 13:00,51.41
02.01.2012 14:00,49.93
02.01.2012 15:00,50.92
02.01.2012 16:00,54.79
02.01.2012 17:00,64.03
02.01.2012 18:00,55.78
02.01.2012 19:00,47.12
02.01.2012 20:00,44.25
02.01.2012 21:00,39.37
02.01.2012 22:00,36.03
02.01.2012 23:00,29.49
03.01.2012 00:00,29
03.01.2012 01:00,25.54
03.01.2012 02:00,21.8
03.01.2012 03:00,19.73
03.01.2012 04:00,19.02
03.01.2012 05:00,24.27
03.01.2012 06:00,39.16
03.01.2012 07:00,46.67
03.01.2012 08:00,53.1
03.01.2012 09:00,51.87
03.01.2012 10:00,44.34
03.01.2012 11:00,41.84
03.01.2012 12:00,39.59
03.01.2012 13:00,38.04
03.01.2012 14:00,35.78
03.01.2012 15:00,35.12
03.01.2012 16:00,36.79
03.01.2012 17:00,41.55
03.01.2012 18:00,46.76
03.01.2012 19:00,42.47
03.01.2012 20:00,35.17
03.01.2012 21:00,28.62
03.01.2012 22:00,28.44
03.01.2012 23:00,15.96
04.01.2012 00:00,5.01
04.01.2012 01:00,0.05
04.01.2012 02:00,0.04
04.01.2012 03:00,0.09
04.01.2012 04:00,9.91
04.01.2012 05:00,10.99
04.01.2012 06:00,20.44
04.01.2012 07:00,39.88
04.01.2012 08:00,43.89
04.01.2012 09:00,45.41
04.01.2012 10:00,44.97
04.01.2012 11:00,48.54
